latitude,longitude,elevation,heading,hcurv,surfasl,surfxsl,deadreck,numlns,trlnlmt,lelnrmt,rilnlmt,trlnwid,tmpln,lerdedg,rirdedg,hovln,aproad,ovpbr,tolpl,rdencl,spdlim,rdnam,ovhdsgn,lnsplmert,lnsplmerl,rdtyp,extsymtxt,locsymtxt,const,gmfa,opnsgmt,trffclgt,gntry,jumpflag,distance,virlnsplmert,ramlane2,tralineno
29.61348362,106.52035753,0,253.95092577,-0.00024662,-0.42681712,-1.26232778,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,0.00000000,0,0,2
29.61348090,106.52034668,0,253.95399986,-0.00024662,-0.42681712,-1.27520400,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332102,0,0,2
29.61347846,106.52033583,0,253.95311564,-0.00025654,-0.42681712,-1.28445032,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332132,0,0,2
29.61347548,106.52032498,0,253.95004140,-0.00026094,-0.42681712,-1.27913121,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09328728,0,0,2
29.61347276,106.52031413,0,253.95092577,-0.00027116,-0.42681712,-1.23891241,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09320371,0,0,2
29.61347005,106.52030328,0,253.95399986,-0.00027833,-0.42681712,-1.19773831,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332132,0,0,2
29.61346734,106.52029270,0,253.95399986,-0.00028568,-0.42681712,-1.15228183,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332102,0,0,2
29.61346463,106.52028212,0,253.95092577,-0.00029025,-0.42681712,-1.13014131,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09328728,0,0,2
29.61346191,106.52027127,0,254.08570871,-0.00029652,-0.42681712,-1.07619402,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332132,0,0,2
29.61345920,106.52026042,0,254.22949386,-0.00030230,-0.42681712,-1.10183333,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.09332102,0,0,2
29.61345676,106.52025038,0,254.22949386,-0.00029146,-0.42681712,-1.10240023,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.00805913,0,0,2
29.61345459,106.52024034,0,254.23283229,-0.00028742,-0.42681712,-1.09864481,0,5,1,1,1,375,0,1,1,0,0,0,0,0,120,G50 Huyu Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.00820978,0,0,2
