latitude,longitude,elevation,heading,hcurv,surfasl,surfxsl,deadreck,numlns,trlnlmt,lelnrmt,rilnlmt,trlnwid,tmpln,lerdedg,rirdedg,hovln,aproad,ovpbr,tolpl,rdencl,spdlim,rdnam,ovhdsgn,lnsplmert,lnsplmerl,rdtyp,extsymtxt,locsymtxt,const,gmfa,opnsgmt,trffclgt,gntry,jumpflag,distance,virlnsplmert,ramlane2,tralineno
29.57638102,106.46286567,0,228.01806461,-0.00020234,-0.28473636,-1.17546815,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,0.00000000,0,0,2
29.57637641,106.46285970,0,228.09013995,-0.00020234,-0.28473636,-1.17546815,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,0.75052595,0,0,2
29.57636909,106.46285048,0,228.09013995,0.00007673,-0.28473636,-1.16879808,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.22336928,0,0,2
29.57636176,106.46284098,0,228.09777663,0.00011570,-0.28473636,-1.16855039,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.22333205,0,0,2
29.57635444,106.46283176,0,228.00942433,0.00017439,-0.28473636,-1.19737641,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.22336936,0,0,2
29.57634684,106.46282227,0,227.91489000,0.00020902,-0.28473636,-1.28272415,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.22369538,0,0,2
29.57633952,106.46281277,0,227.91489000,0.00017720,-0.28473636,-1.30967256,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.24252269,0,0,2
29.57633192,106.46280328,0,227.92243450,0.00015046,-0.28473636,-1.35422306,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,0,0,0,0,0,0,0,1.24248758,0,0,2
29.57632433,106.46279405,0,227.90371109,0.00011549,-0.28473636,-1.35674613,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,1,0,0,0,0,0,0,1.24252275,0,0,2
29.57631673,106.46278456,0,227.89294614,0.00008297,-0.28473636,-1.31223162,0,5,2,1,1,375,0,1,0,0,0,0,0,0,60,G75 Lanhai Expressway,0,0,0,1,0,1,0,0,0,0,0,0,1.24284991,0,0,2
