latitude,longitude,elevation,heading,hcurv,surfasl,surfxsl,deadreck,numlns,trlnlmt,lelnrmt,rilnlmt,trlnwid,tmpln,lerdedg,rirdedg,hovln,aproad,ovpbr,tolpl,rdencl,spdlim,rdnam,ovhdsgn,lnsplmert,lnsplmerl,rdtyp,extsymtxt,locsymtxt,const,gmfa,opnsgmt,trffclgt,gntry,jumpflag,distance,virlnsplmert,ramlane2,tralineno
29.67640354,106.60639703,0,232.99135197,0.00021088,-1.85208010,-1.06700690,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,0.00000000,0,0,2
29.67639757,106.60638780,0,232.99135197,0.00021088,-1.85208010,-1.06700690,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10931488,0,0,2
29.67639133,106.60637858,0,232.99383288,0.00024794,-1.85208010,-1.01590580,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10970559,0,0,2
29.67638536,106.60636963,0,233.00142665,0.00026081,-1.85208010,-1.02522521,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10931488,0,0,2
29.67637939,106.60636041,0,232.99135197,0.00028297,-1.85208010,-1.02391977,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10902114,0,0,2
29.67637343,106.60635118,0,232.99135197,0.00030052,-1.85208010,-1.04924261,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10970559,0,0,2
29.67636746,106.60634196,0,232.99135197,0.00031025,-1.85208010,-1.06856975,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10931488,0,0,2
29.67636149,106.60633274,0,232.89524199,0.00032447,-1.85208010,-1.07412493,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10970559,0,0,2
29.67635525,106.60632351,0,232.79228793,0.00034759,-1.85208010,-1.05108101,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.10931488,0,0,2
29.67634983,106.60631510,0,232.79228793,0.00032696,-1.85208010,-1.04145833,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.03588639,0,0,2
29.67634413,106.60630642,0,232.78969779,0.00030906,-1.85208010,-1.02134119,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.03549769,0,0,2
29.67633843,106.60629801,0,232.78152712,0.00029808,-1.85208010,-0.99339240,0,5,1,1,4,375,5,1,1,0,0,0,0,0,50,Airport Road,0,0,0,2,0,0,0,0,0,0,0,0,1.03588639,0,0,2
