latitude,longitude,elevation,heading,hcurv,surfasl,surfxsl,deadreck,numlns,trlnlmt,lelnrmt,rilnlmt,trlnwid,tmpln,lerdedg,rirdedg,hovln,aproad,ovpbr,tolpl,rdencl,spdlim,rdnam,ovhdsgn,lnsplmert,lnsplmerl,rdtyp,extsymtxt,locsymtxt,const,gmfa,opnsgmt,trffclgt,gntry,jumpflag,distance,virlnsplmert,ramlane2,tralineno
29.62416043,106.55632867,0,168.17798580,-0.00270870,0.00000000,2.53868602,0,1,4,4,4,350,1,1,0,0,0,0,0,0,40,East Ring Motorway Interchange,0,0,0,3,0,0,0,0,0,0,0,0,0.00000000,0,0,1
29.62415012,106.55633111,0,168.44015245,-0.00270870,1.74426182,2.82107750,0,1,4,4,4,350,1,1,0,0,0,0,0,0,40,East Ring Motorway Interchange,0,0,0,3,0,1,0,0,0,0,0,0,1.14096010,0,0,1
29.62414008,106.55633328,0,168.70660459,-0.00410111,1.74579362,2.51260369,0,1,4,4,4,350,1,1,0,0,0,0,0,0,40,East Ring Motorway Interchange,0,0,0,3,0,1,0,0,0,0,0,0,1.14096103,0,0,1
29.62413032,106.55633572,0,168.70351299,-0.00272744,1.83268155,2.48466586,0,1,4,4,4,350,1,1,0,0,0,0,0,0,40,East Ring Motorway Interchange,0,0,0,3,0,1,0,0,0,0,0,0,1.10978679,0,0,1
29.62412055,106.55633789,0,168.70351299,-0.00272744,1.83268155,2.47920894,0,2,4,4,4,350,1,1,0,0,0,0,0,0,40,East Ring Motorway Interchange,0,3,1,3,0,1,0,0,0,0,0,0,1.10981166,0,1,1
